prompt_idx,transformation,layer,harmful_proj,harmless_proj,gap
0,markdown,15,3.25,0.8134765625,2.4365234375
0,markdown,16,5.14453125,1.271484375,3.873046875
0,markdown,17,6.328125,2.07421875,4.25390625
0,markdown,18,5.109375,0.828125,4.28125
0,markdown,19,7.1484375,3.03515625,4.11328125
0,markdown,20,2.47265625,-2.232421875,4.705078125
0,markdown,21,3.20703125,-1.63671875,4.84375
0,markdown,22,6.06640625,-0.69873046875,6.76513671875
0,markdown,23,12.0859375,4.421875,7.6640625
0,markdown,24,13.28125,4.66796875,8.61328125
0,markdown,25,20.734375,10.609375,10.125
0,markdown,26,15.828125,4.49609375,11.33203125
0,markdown,27,15.6015625,2.357421875,13.244140625
0,markdown,28,71.1875,58.6875,12.5
0,roleplay,0,-0.021636962890625,-0.021636962890625,0.0
0,roleplay,1,-0.4619140625,-0.44580078125,-0.01611328125
0,roleplay,2,-0.7939453125,-0.78173828125,-0.01220703125
0,roleplay,3,-0.533203125,-0.54638671875,0.01318359375
0,roleplay,4,-1.0107421875,-1.1318359375,0.12109375
0,roleplay,5,-1.5830078125,-1.8515625,0.2685546875
0,roleplay,6,-2.47265625,-2.904296875,0.431640625
0,roleplay,7,-1.8564453125,-2.34765625,0.4912109375
0,roleplay,8,-1.6015625,-3.251953125,1.650390625
0,roleplay,9,-1.720703125,-4.2265625,2.505859375
0,roleplay,10,-2.25,-4.76953125,2.51953125
0,roleplay,11,0.466552734375,-5.02734375,5.493896484375
0,roleplay,12,3.9609375,-2.66015625,6.62109375
0,roleplay,13,4.87109375,-2.8984375,7.76953125
0,roleplay,14,7.01171875,-2.0390625,9.05078125
0,roleplay,15,6.64453125,-3.1484375,9.79296875
0,roleplay,16,7.84375,-2.673828125,10.517578125
0,roleplay,17,8.2109375,-2.205078125,10.416015625
0,roleplay,18,5.8671875,-3.576171875,9.443359375
0,roleplay,19,7.8515625,-2.0078125,9.859375
0,roleplay,20,3.103515625,-7.66015625,10.763671875
0,roleplay,21,4.83984375,-4.6484375,9.48828125
0,roleplay,22,7.21484375,-2.671875,9.88671875
0,roleplay,23,12.5390625,0.6328125,11.90625
0,roleplay,24,12.796875,-0.312255859375,13.109130859375
0,roleplay,25,19.421875,3.796875,15.625
0,roleplay,26,17.03125,-0.57763671875,17.60888671875
0,roleplay,27,15.7109375,-3.529296875,19.240234375
0,roleplay,28,74.5,48.0625,26.4375
0,nested,0,-0.021636962890625,-0.021636962890625,0.0
0,nested,1,-0.427734375,-0.418701171875,-0.009033203125
0,nested,2,-0.99365234375,-0.96923828125,-0.0244140625
0,nested,3,-0.779296875,-0.79052734375,0.01123046875
0,nested,4,-1.1337890625,-1.55078125,0.4169921875
0,nested,5,-1.7041015625,-2.49609375,0.7919921875
0,nested,6,-2.111328125,-3.05859375,0.947265625
0,nested,7,-1.5302734375,-2.58984375,1.0595703125
0,nested,8,-1.1103515625,-3.443359375,2.3330078125
0,nested,9,-1.529296875,-4.69140625,3.162109375
0,nested,10,-1.7705078125,-4.90625,3.1357421875
0,nested,11,1.2646484375,-5.58984375,6.8544921875
0,nested,12,5.29296875,-3.26953125,8.5625
0,nested,13,6.40234375,-3.806640625,10.208984375
0,nested,14,8.4296875,-2.998046875,11.427734375
0,nested,15,7.5859375,-4.0,11.5859375
0,nested,16,8.90625,-3.337890625,12.244140625
0,nested,17,9.3515625,-2.80078125,12.15234375
0,nested,18,7.1796875,-4.32421875,11.50390625
0,nested,19,10.1640625,-1.9990234375,12.1630859375
0,nested,20,4.59765625,-8.328125,12.92578125
0,nested,21,5.625,-5.79296875,11.41796875
0,nested,22,8.4921875,-3.935546875,12.427734375
0,nested,23,14.234375,0.2344970703125,13.9998779296875
0,nested,24,14.1328125,-1.4755859375,15.6083984375
0,nested,25,23.015625,4.86328125,18.15234375
0,nested,26,21.015625,0.794921875,20.220703125
0,nested,27,19.671875,-2.83203125,22.50390625
0,nested,28,82.3125,54.34375,27.96875
1,direct,0,0.249267578125,-0.1256103515625,0.3748779296875
1,direct,1,6.9765625,-4.16015625,11.13671875
1,direct,2,5.9296875,-4.74609375,10.67578125
1,direct,3,8.8828125,-7.3515625,16.234375
1,direct,4,7.29296875,-10.8828125,18.17578125
1,direct,5,9.5234375,-11.5625,21.0859375
1,direct,6,8.671875,-10.859375,19.53125
1,direct,7,9.0390625,-11.8359375,20.875
1,direct,8,9.8125,-13.0859375,22.8984375
1,direct,9,8.2890625,-14.140625,22.4296875
1,direct,10,11.2890625,-13.5234375,24.8125
1,direct,11,11.828125,-13.2890625,25.1171875
1,direct,12,15.3828125,-10.90625,26.2890625
1,direct,13,13.734375,-11.1171875,24.8515625
1,direct,14,13.5859375,-10.5703125,24.15625
1,direct,15,12.4375,-11.6875,24.125
1,direct,16,13.3046875,-10.7265625,24.03125
1,direct,17,13.6953125,-10.734375,24.4296875
1,direct,18,12.75,-12.7109375,25.4609375
1,direct,19,15.7734375,-11.5234375,27.296875
1,direct,20,6.56640625,-23.78125,30.34765625
1,direct,21,12.046875,-22.0625,34.109375
1,direct,22,17.390625,-20.96875,38.359375
1,direct,23,26.359375,-15.96875,42.328125
1,direct,24,27.671875,-18.84375,46.515625
1,direct,25,39.96875,-12.9609375,52.9296875
1,direct,26,38.8125,-16.171875,54.984375
1,direct,27,41.4375,-19.609375,61.046875
1,direct,28,99.8125,61.28125,38.53125
1,json,0,-0.03485107421875,-0.03485107421875,0.0
1,json,1,-0.2998046875,-0.35107421875,0.05126953125
1,json,2,-0.46923828125,-0.552734375,0.08349609375
1,json,3,-1.14453125,-1.2001953125,0.0556640625
1,json,4,-1.2236328125,-1.3701171875,0.146484375
1,json,5,-1.5869140625,-1.71484375,0.1279296875
1,json,6,-2.16015625,-2.244140625,0.083984375
