model,format,layer,position,mean_projection,retention_pct,baseline
Qwen2.5-1.5B-Instruct,json,3,first,-282.5,-5727.296125442991,4.93251953125
Qwen2.5-1.5B-Instruct,json,3,content,1.064276123046875,21.576723950187095,4.93251953125
Qwen2.5-1.5B-Instruct,json,3,delimiter,-23.6203125,-478.86911243540766,4.93251953125
Qwen2.5-1.5B-Instruct,json,3,mean,-10.784375,-218.63826248787345,4.93251953125
Qwen2.5-1.5B-Instruct,json,6,last,-2.1595703125,-36.701297839147614,5.8841796875
Qwen2.5-1.5B-Instruct,json,6,first,-394.0,-6695.920602781558,5.8841796875
Qwen2.5-1.5B-Instruct,json,6,content,0.7105712890625,12.075961761874732,5.8841796875
Qwen2.5-1.5B-Instruct,json,6,delimiter,-34.61875,-588.3360440800611,5.8841796875
Qwen2.5-1.5B-Instruct,json,6,mean,-16.43828125,-279.36402562485483,5.8841796875
Qwen2.5-1.5B-Instruct,json,9,last,-1.76904296875,-29.32226160993218,6.03310546875
Qwen2.5-1.5B-Instruct,json,9,first,-171.5,-2842.648796516616,6.03310546875
Qwen2.5-1.5B-Instruct,json,9,content,1.01630859375,16.845530034477736,6.03310546875
Qwen2.5-1.5B-Instruct,json,9,delimiter,-15.796875,-261.83654639926186,6.03310546875
Qwen2.5-1.5B-Instruct,json,9,mean,-7.615234375,-126.22412146522282,6.03310546875
Qwen2.5-1.5B-Instruct,json,12,last,-0.6127197265625,-4.951504963934529,12.3744140625
Qwen2.5-1.5B-Instruct,json,12,first,308.75,2495.0676326214943,12.3744140625
Qwen2.5-1.5B-Instruct,json,12,content,5.34580078125,43.200435626686875,12.3744140625
Qwen2.5-1.5B-Instruct,json,12,delimiter,25.971875,209.88367504774536,12.3744140625
Qwen2.5-1.5B-Instruct,json,12,mean,13.5703125,109.66428334674939,12.3744140625
Qwen2.5-1.5B-Instruct,json,15,last,-1.444091796875,-11.217948717948719,12.873046875
Qwen2.5-1.5B-Instruct,json,15,first,334.0,2594.5683507813687,12.873046875
Qwen2.5-1.5B-Instruct,json,15,content,5.40458984375,41.983765741162195,12.873046875
Qwen2.5-1.5B-Instruct,json,15,delimiter,27.6703125,214.94765589440146,12.873046875
Qwen2.5-1.5B-Instruct,json,15,mean,14.15390625,109.94993172507965,12.873046875
Qwen2.5-1.5B-Instruct,json,18,last,-1.266455078125,-9.860327549763536,12.8439453125
Qwen2.5-1.5B-Instruct,json,18,first,415.5,3234.987302504524,12.8439453125
Qwen2.5-1.5B-Instruct,json,18,content,5.10087890625,39.71426833533553,12.8439453125
Qwen2.5-1.5B-Instruct,json,18,delimiter,34.353125,267.46551907665634,12.8439453125
Qwen2.5-1.5B-Instruct,json,18,mean,17.16015625,133.60502425449735,12.8439453125
Qwen2.5-1.5B-Instruct,json,21,last,-2.02928466796875,-14.78721019597797,13.7232421875
Qwen2.5-1.5B-Instruct,json,21,first,273.0,1989.3258187097051,13.7232421875
Qwen2.5-1.5B-Instruct,json,21,content,2.4677490234375,17.982259510695528,13.7232421875
Qwen2.5-1.5B-Instruct,json,21,delimiter,20.20625,147.24107994250176,13.7232421875
Qwen2.5-1.5B-Instruct,json,21,mean,9.290234375,67.69708096722316,13.7232421875
Qwen2.5-1.5B-Instruct,json,24,last,3.024560546875,10.107136330409357,29.925
Qwen2.5-1.5B-Instruct,json,24,first,429.25,1434.4193817878026,29.925
Qwen2.5-1.5B-Instruct,json,24,content,12.74296875,42.583020050125306,29.925
Qwen2.5-1.5B-Instruct,json,24,delimiter,35.946875,120.12322472848788,29.925
Qwen2.5-1.5B-Instruct,json,24,mean,20.7421875,69.31390977443608,29.925
Qwen2.5-1.5B-Instruct,json,27,last,5.49375,12.703688983632622,43.2453125
Qwen2.5-1.5B-Instruct,json,27,first,0.62890625,1.454276113740651,43.2453125
Qwen2.5-1.5B-Instruct,json,27,content,18.216796875,42.12432705856849,43.2453125
Qwen2.5-1.5B-Instruct,json,27,delimiter,-0.54459228515625,-1.259309399501391,43.2453125
Qwen2.5-1.5B-Instruct,json,27,mean,5.5005859375,12.719496332695018,43.2453125
Qwen2.5-1.5B-Instruct,json,28,last,41.74375,45.01583878142481,92.73125
Qwen2.5-1.5B-Instruct,json,28,first,19.28125,20.792613061939743,92.73125
Qwen2.5-1.5B-Instruct,json,28,content,70.28125,75.79025409449349,92.73125
Qwen2.5-1.5B-Instruct,json,28,delimiter,17.6390625,19.021702500505494,92.73125
Qwen2.5-1.5B-Instruct,json,28,mean,37.840625,40.806766866617245,92.73125
Qwen2.5-1.5B-Instruct,tool_call,0,last,0.023101806640625,15.199277181005924,0.1519927978515625
Qwen2.5-1.5B-Instruct,tool_call,0,first,0.01480865478515625,9.74299769099488,0.1519927978515625
Qwen2.5-1.5B-Instruct,tool_call,0,content,0.01981475353240967,13.036639770103402,0.1519927978515625
Qwen2.5-1.5B-Instruct,tool_call,0,delimiter,-0.0011012554168701172,-0.7245444734464411,0.1519927978515625
Qwen2.5-1.5B-Instruct,tool_call,0,mean,0.00650138258934021,4.277428063196466,0.1519927978515625
Qwen2.5-1.5B-Instruct,tool_call,3,last,1.7908203125,36.306400839454355,4.93251953125
Qwen2.5-1.5B-Instruct,tool_call,3,first,-266.75,-5407.986695440417,4.93251953125
Qwen2.5-1.5B-Instruct,tool_call,3,content,1.10723876953125,22.447732087350772,4.93251953125
Qwen2.5-1.5B-Instruct,tool_call,3,delimiter,-21.678125,-439.49395157298704,4.93251953125
Qwen2.5-1.5B-Instruct,tool_call,3,mean,-10.1828125,-206.44241620305297,4.93251953125
Qwen2.5-1.5B-Instruct,tool_call,6,last,0.643115234375,10.929564842168155,5.8841796875
Qwen2.5-1.5B-Instruct,tool_call,6,first,-366.5,-6228.565738374216,5.8841796875
Qwen2.5-1.5B-Instruct,tool_call,6,content,0.79189453125,13.45802768280944,5.8841796875
Qwen2.5-1.5B-Instruct,tool_call,6,delimiter,-31.5234375,-535.7320675805756,5.8841796875
Qwen2.5-1.5B-Instruct,tool_call,6,mean,-15.48203125,-263.11282238523586,5.8841796875
Qwen2.5-1.5B-Instruct,tool_call,9,last,-0.133978271484375,-2.2207182052153644,6.03310546875
Qwen2.5-1.5B-Instruct,tool_call,9,first,-160.25,-2656.1776655497824,6.03310546875
Qwen2.5-1.5B-Instruct,tool_call,9,content,1.5593994140625,25.84737532171126,6.03310546875
Qwen2.5-1.5B-Instruct,tool_call,9,delimiter,-14.20546875,-235.45865099791192,6.03310546875
Qwen2.5-1.5B-Instruct,tool_call,9,mean,-6.89609375,-114.30421340584988,6.03310546875
Qwen2.5-1.5B-Instruct,tool_call,12,last,1.5970703125,12.906229777293749,12.3744140625
Qwen2.5-1.5B-Instruct,tool_call,12,first,281.5,2274.855185693767,12.3744140625
Qwen2.5-1.5B-Instruct,tool_call,12,content,5.7262451171875,46.27487886105719,12.3744140625
Qwen2.5-1.5B-Instruct,tool_call,12,delimiter,24.05625,194.40314408826177,12.3744140625
Qwen2.5-1.5B-Instruct,tool_call,12,mean,13.59140625,109.83474596335054,12.3744140625
Qwen2.5-1.5B-Instruct,tool_call,15,last,0.179754638671875,1.3963643604915794,12.873046875
Qwen2.5-1.5B-Instruct,tool_call,15,first,305.0,2369.2914580488546,12.873046875
Qwen2.5-1.5B-Instruct,tool_call,15,content,5.909423828125,45.90540130480959,12.873046875
Qwen2.5-1.5B-Instruct,tool_call,15,delimiter,25.7953125,200.38233955393721,12.873046875
Qwen2.5-1.5B-Instruct,tool_call,15,mean,14.3890625,111.77666514944622,12.873046875
Qwen2.5-1.5B-Instruct,tool_call,18,last,0.2491302490234375,1.939670739496054,12.8439453125
Qwen2.5-1.5B-Instruct,tool_call,18,first,383.25,2983.896230288469,12.8439453125
Qwen2.5-1.5B-Instruct,tool_call,18,content,5.676239013671875,44.193889615425554,12.8439453125
Qwen2.5-1.5B-Instruct,tool_call,18,delimiter,32.0828125,249.78938884749323,12.8439453125
Qwen2.5-1.5B-Instruct,tool_call,18,mean,17.31953125,134.8458812974255,12.8439453125
Qwen2.5-1.5B-Instruct,tool_call,21,last,1.3307373046875,9.696959993168523,13.7232421875
Qwen2.5-1.5B-Instruct,tool_call,21,first,258.75,1885.487383117715,13.7232421875
Qwen2.5-1.5B-Instruct,tool_call,21,content,3.054541015625,22.258158632566214,13.7232421875
Qwen2.5-1.5B-Instruct,tool_call,21,delimiter,19.4484375,141.7189701549891,13.7232421875
Qwen2.5-1.5B-Instruct,tool_call,21,mean,9.821484375,71.56825071517015,13.7232421875
Qwen2.5-1.5B-Instruct,tool_call,24,last,4.6505859375,15.54080513784461,29.925
Qwen2.5-1.5B-Instruct,tool_call,24,first,404.5,1351.7126148705095,29.925
Qwen2.5-1.5B-Instruct,tool_call,24,content,11.72412109375,39.17834951963242,29.925
Qwen2.5-1.5B-Instruct,tool_call,24,delimiter,34.940625,116.76065162907267,29.925
Qwen2.5-1.5B-Instruct,tool_call,24,mean,21.1640625,70.72368421052632,29.925
Qwen2.5-1.5B-Instruct,tool_call,27,last,4.8861328125,11.298641471257723,43.2453125
Qwen2.5-1.5B-Instruct,tool_call,27,first,5.2578125,12.158109621707554,43.2453125
Qwen2.5-1.5B-Instruct,tool_call,27,content,15.23939208984375,35.239407947031836,43.2453125
Qwen2.5-1.5B-Instruct,tool_call,27,delimiter,-0.53564453125,-1.2386187086750733,43.2453125
Qwen2.5-1.5B-Instruct,tool_call,27,mean,4.75107421875,10.986333417639196,43.2453125
Qwen2.5-1.5B-Instruct,tool_call,28,last,4.540234375,4.896121183527667,92.73125
Qwen2.5-1.5B-Instruct,tool_call,28,first,33.6875,36.328098672238326,92.73125
Qwen2.5-1.5B-Instruct,tool_call,28,content,60.96875,65.747792680461,92.73125
Qwen2.5-1.5B-Instruct,tool_call,28,delimiter,20.178125,21.759789714901938,92.73125
Qwen2.5-1.5B-Instruct,tool_call,28,mean,36.096875,38.92633281660713,92.73125
Qwen2.5-1.5B-Instruct,system,0,last,0.018585205078125,12.227687983134224,0.1519927978515625
Qwen2.5-1.5B-Instruct,system,0,first,0.0151824951171875,9.988956932034936,0.1519927978515625
Qwen2.5-1.5B-Instruct,system,0,content,-0.0028682708740234374,-1.887109727938962,0.1519927978515625
Qwen2.5-1.5B-Instruct,system,0,delimiter,0.00241851806640625,1.5912057022387311,0.1519927978515625
Qwen2.5-1.5B-Instruct,system,0,mean,0.010794311761856079,7.101857400110431,0.1519927978515625
Qwen2.5-1.5B-Instruct,system,3,last,0.32796173095703124,6.648969738066484,4.93251953125
Qwen2.5-1.5B-Instruct,system,3,first,-270.75,-5489.081153853769,4.93251953125
Qwen2.5-1.5B-Instruct,system,3,content,-0.14620361328125,-2.964075709279535,4.93251953125
Qwen2.5-1.5B-Instruct,system,3,delimiter,-90.33125,-1831.3409491377777,4.93251953125
Qwen2.5-1.5B-Instruct,system,3,mean,-19.215625,-389.5701756122671,4.93251953125
Qwen2.5-1.5B-Instruct,system,6,last,0.672613525390625,11.430880107544729,5.8841796875
Qwen2.5-1.5B-Instruct,system,6,first,-373.25,-6343.2801141832915,5.8841796875
Qwen2.5-1.5B-Instruct,system,6,content,-1.209814453125,-20.560460716300994,5.8841796875
Qwen2.5-1.5B-Instruct,system,6,delimiter,-125.025,-2124.765160819199,5.8841796875
Qwen2.5-1.5B-Instruct,system,6,mean,-27.29375,-463.8497029242872,5.8841796875
Qwen2.5-1.5B-Instruct,system,9,last,0.5436279296875,9.010747988798782,6.03310546875
Qwen2.5-1.5B-Instruct,system,9,first,-160.25,-2656.1776655497824,6.03310546875
Qwen2.5-1.5B-Instruct,system,9,content,-1.2115966796875,-20.082471389954513,6.03310546875
Qwen2.5-1.5B-Instruct,system,9,delimiter,-54.25625,-899.3088266239338,6.03310546875
Qwen2.5-1.5B-Instruct,system,9,mean,-11.59921875,-192.2595056572622,6.03310546875
Qwen2.5-1.5B-Instruct,system,12,last,1.61513671875,13.052227851697525,12.3744140625
Qwen2.5-1.5B-Instruct,system,12,first,293.5,2371.8294742490966,12.3744140625
Qwen2.5-1.5B-Instruct,system,12,content,1.86556396484375,15.075978187098507,12.3744140625
Qwen2.5-1.5B-Instruct,system,12,delimiter,98.2375,793.8759726628471,12.3744140625
Qwen2.5-1.5B-Instruct,system,12,mean,24.84375,200.76708177470525,12.3744140625
Qwen2.5-1.5B-Instruct,system,15,last,-0.15961456298828125,-1.2399128546502807,12.873046875
Qwen2.5-1.5B-Instruct,system,15,first,316.75,2460.5674404490974,12.873046875
Qwen2.5-1.5B-Instruct,system,15,content,1.7319435119628905,13.454029405628887,12.873046875
Qwen2.5-1.5B-Instruct,system,15,delimiter,105.40625,818.8135336064331,12.873046875
Qwen2.5-1.5B-Instruct,system,15,mean,26.3015625,204.31497496586255,12.873046875
Qwen2.5-1.5B-Instruct,system,18,last,0.38358154296875,2.9864775474825507,12.8439453125
Qwen2.5-1.5B-Instruct,system,18,first,396.75,3089.0041209835617,12.8439453125
Qwen2.5-1.5B-Instruct,system,18,content,1.39185791015625,10.836685117318776,12.8439453125
Qwen2.5-1.5B-Instruct,system,18,delimiter,132.4375,1031.1278721430633,12.8439453125
Qwen2.5-1.5B-Instruct,system,18,mean,32.059375,249.606909870592,12.8439453125
Qwen2.5-1.5B-Instruct,system,21,last,-2.4416015625,-17.791725374663763,13.7232421875
Qwen2.5-1.5B-Instruct,system,21,first,268.25,1954.7130068457084,13.7232421875
Qwen2.5-1.5B-Instruct,system,21,content,-1.28271484375,-9.347024749868352,13.7232421875
Qwen2.5-1.5B-Instruct,system,21,delimiter,87.4625,637.3311700325918,13.7232421875
Qwen2.5-1.5B-Instruct,system,21,mean,20.64375,150.42910208786986,13.7232421875
Qwen2.5-1.5B-Instruct,system,24,last,0.65443115234375,2.186904435568087,29.925
Qwen2.5-1.5B-Instruct,system,24,first,416.5,1391.812865497076,29.925
Qwen2.5-1.5B-Instruct,system,24,content,5.951904296875,19.889404500835422,29.925
Qwen2.5-1.5B-Instruct,system,24,delimiter,139.55,466.3324979114453,29.925
Qwen2.5-1.5B-Instruct,system,24,mean,38.9015625,129.9968671679198,29.925
Qwen2.5-1.5B-Instruct,system,27,last,-1.7017578125,-3.9351266394479176,43.2453125
Qwen2.5-1.5B-Instruct,system,27,first,5.63671875,13.034288398309066,43.2453125
Qwen2.5-1.5B-Instruct,system,27,content,8.2142578125,18.994562271922536,43.2453125
Qwen2.5-1.5B-Instruct,system,27,delimiter,1.46162109375,3.3798370488130938,43.2453125
Qwen2.5-1.5B-Instruct,system,27,mean,10.8849609375,25.170267731329265,43.2453125
Qwen2.5-1.5B-Instruct,system,28,last,-19.0390625,-20.531441666105007,92.73125
Qwen2.5-1.5B-Instruct,system,28,first,31.34375,33.80063355125699,92.73125
Qwen2.5-1.5B-Instruct,system,28,content,64.91875,70.00741389768821,92.73125
Qwen2.5-1.5B-Instruct,system,28,delimiter,24.4203125,26.334501583878144,92.73125
Qwen2.5-1.5B-Instruct,system,28,mean,52.553125,56.67250791939071,92.73125
Qwen2.5-3B-Instruct,direct,0,last,0.1516265869140625,100.0,0.1516265869140625
Qwen2.5-3B-Instruct,direct,0,first,-0.01676025390625,-11.053637918889002,0.1516265869140625
Qwen2.5-3B-Instruct,direct,0,content,0.01748313903808594,11.530391466237296,0.1516265869140625
Qwen2.5-3B-Instruct,direct,0,delimiter,0.0,0.0,0.1516265869140625
Qwen2.5-3B-Instruct,direct,0,mean,0.01748313903808594,11.530391466237296,0.1516265869140625
Qwen2.5-3B-Instruct,direct,3,last,4.6317626953125,100.0,4.6317626953125
Qwen2.5-3B-Instruct,direct,3,first,29.765625,642.6414079919037,4.6317626953125
Qwen2.5-3B-Instruct,direct,3,content,4.6498046875,100.38952755947015,4.6317626953125
Qwen2.5-3B-Instruct,direct,3,delimiter,0.0,0.0,4.6317626953125
Qwen2.5-3B-Instruct,direct,3,mean,4.6498046875,100.38952755947015,4.6317626953125
Qwen2.5-3B-Instruct,direct,6,last,4.53759765625,100.0,4.53759765625
Qwen2.5-3B-Instruct,direct,6,first,8.612890625,189.811686215431,4.53759765625
Qwen2.5-3B-Instruct,direct,6,content,1.2511474609375,27.572904336597436,4.53759765625
Qwen2.5-3B-Instruct,direct,6,delimiter,0.0,0.0,4.53759765625
Qwen2.5-3B-Instruct,direct,6,mean,1.2511474609375,27.572904336597436,4.53759765625
Qwen2.5-3B-Instruct,direct,9,last,6.684326171875,100.0,6.684326171875
Qwen2.5-3B-Instruct,direct,9,first,32.246875,482.4252164067351,6.684326171875
