format,model_a_retention,model_b_retention,improvement_pp
direct,100.0,100.0,0.0
json,1.0769055783376276,1.0121479895896937,-0.06475758874793391
tool_call,1.6160497881200224,2.1787400738181932,0.5626902856981708
xml,2.831449875565696,2.228984470607965,-0.6024654049577309
system,3.742720835581173,3.2648110038844824,-0.47790983169669055
