position,format,gap,retention_pct
last,direct,58.06787109375,100.0
last,tool_call,2.5680908203124995,4.42256754370475
last,json,9.171442222595214,15.794349008917532
last,system,1.4408203124999999,2.4812693928003835
first,direct,0.004052734374999645,0.006979305937454716
first,tool_call,0.0,0.0
first,json,0.0,0.0
first,system,0.0,0.0
mean,direct,24.168859863281252,41.621742640195755
mean,tool_call,6.510137939453125,11.211256443244789
mean,json,8.156101989746094,14.045808527366448
mean,system,12.663041687011718,21.807311768959746
content,direct,16.829425048828124,28.982335208496252
content,tool_call,1.0168777465820313,1.7511882688798637
content,json,12.65899658203125,21.800345601775938
content,system,7.598515319824219,13.085575855805857
