pca_x,pca_y,tsne_x,tsne_y,label,format
82.2420940780147,-2.9348406388148804,12.064911,11.791751,harmful,direct
84.14959346845482,-50.540947027914015,19.618145,-2.7536275,harmful,direct
90.17577785709366,-75.67189117357606,20.822338,-6.678401,harmful,direct
88.87815234766256,-64.48913338836648,17.683962,-6.04858,harmful,direct
82.20500112517246,-55.736440827625586,23.044159,-7.3802643,harmful,direct
78.42261562981774,-57.297751841457284,19.679941,-3.032995,harmful,direct
85.57795853260316,-52.88875088592333,22.925547,-7.082171,harmful,direct
88.24512230803737,-65.2722784626791,20.168192,-4.6787763,harmful,direct
80.92010682630816,-52.65813074345107,23.765755,-7.71043,harmful,direct
76.88983907790303,-51.13219584366213,18.862082,-2.6202981,harmful,direct
95.47777398382236,-71.28895342086241,18.819199,-5.850219,harmful,direct
91.06068344010976,-58.994166878897445,21.048513,-5.33929,harmful,direct
87.53589594547293,-54.02713700372703,22.474924,-5.41123,harmful,direct
84.21811786376165,-56.64869198131476,17.825378,-5.518839,harmful,direct
88.34017930061869,-68.2054407094805,20.830917,-7.7837496,harmful,direct
87.91089555330697,-62.17738270189945,19.746399,-4.8971963,harmful,direct
93.64171165535944,-66.82961491483125,21.673439,-6.143754,harmful,direct
81.33367075241131,-43.95622214908426,21.65995,0.6043688,harmful,direct
75.16996762835961,-59.149717812699826,17.57073,-7.8452573,harmful,direct
84.79816906335928,-60.62547055583575,18.020987,-5.229342,harmful,direct
78.09558217090071,12.3494379443584,12.059419,11.800439,harmless,direct
75.62084306723519,-42.14871393027245,20.69818,0.3014733,harmless,direct
82.3828098977169,-58.431659674611524,23.72869,-3.1899137,harmless,direct
81.13281410200906,-50.636713741416244,17.307676,-4.2229767,harmless,direct
83.35295807131754,-63.30403080691957,19.022276,-9.3749485,harmless,direct
62.39867379789846,-35.12832367204487,17.937248,-1.2619375,harmless,direct
86.82825495215965,-62.61455035032415,24.612389,-2.7973368,harmless,direct
78.3030115893062,-51.04824759154442,22.0385,-0.7957915,harmless,direct
85.13348744753797,-59.43544481931894,22.920973,-5.2431836,harmless,direct
69.8043910221444,-46.64318943122342,18.810541,-1.8729917,harmless,direct
82.53524935401624,-61.6105139773803,15.570169,-4.4785466,harmless,direct
97.65208616318964,-54.28913516400201,23.833792,-5.1477714,harmless,direct
88.31056976026062,-66.92844596804376,22.124044,-4.236728,harmless,direct
81.89566154614774,-56.90906403472639,16.01283,-4.5043306,harmless,direct
77.83415951207672,-61.120523694275725,20.916037,-8.497034,harmless,direct
89.39862463846355,-57.47605722257454,23.099674,-4.8625274,harmless,direct
85.2219400325893,-67.42330741141205,22.31996,-3.4007049,harmless,direct
77.15199599892128,-39.38442923187902,21.676113,0.2205797,harmless,direct
80.76421460782812,-62.601362569933556,18.577095,-8.688402,harmless,direct
87.52621738531897,-66.66989837853549,22.922134,-2.932983,harmless,direct
50.77170664264341,63.85641365577092,9.244955,17.138958,harmful,json
50.969504600817075,52.169396883912555,15.365188,14.847248,harmful,json
52.605526048576856,62.72588705526095,10.080177,18.91719,harmful,json
51.75126614808188,58.54764908666797,14.451232,21.86853,harmful,json
58.94794351729307,60.10894879705105,10.140375,19.85628,harmful,json
52.39537326878004,58.86860802470313,14.135695,17.689447,harmful,json
54.89757055765324,63.356239060922434,9.064803,20.347048,harmful,json
55.74725062400248,63.55494154633182,11.540233,22.407475,harmful,json
57.668212077336904,56.748923986260365,7.9487114,20.919731,harmful,json
48.88210567210855,60.17547684194732,14.884566,17.653988,harmful,json
49.654295409364565,64.1625825505644,8.543585,16.801802,harmful,json
57.249233530707905,60.079703641149486,10.182459,22.200972,harmful,json
53.00846139953988,59.65363242127145,8.810309,21.6756,harmful,json
55.95333301292842,58.13639290372289,14.380403,21.985563,harmful,json
55.60849675709365,61.87402161560588,8.776876,19.354065,harmful,json
57.203305905330225,61.19961818430979,11.468631,23.338568,harmful,json
52.84721410657098,63.42307445187528,7.775171,17.975,harmful,json
57.23588464523039,50.95526934409481,15.854894,14.650111,harmful,json
51.44260014360574,58.95117725058281,10.972401,18.94636,harmful,json
57.31887600367843,60.34368899536455,12.845059,21.876017,harmful,json
49.211525331601365,64.79920214812127,9.449956,16.030432,harmless,json
49.04187223417398,51.200938453796546,14.896101,15.078924,harmless,json
48.92282903968283,63.018951779775996,10.921303,16.90666,harmless,json
51.24784223283223,62.480962578222716,15.283254,21.774975,harmless,json
50.59903942278327,59.909205842426395,11.802202,17.434597,harmless,json
48.708166508387826,64.53544735392232,16.260565,17.845982,harmless,json
50.367342950545826,63.06899668790517,10.26547,15.478127,harmless,json
52.912482575830566,64.10529948482512,12.182381,19.714794,harmless,json
50.67661312264673,63.21342441866865,10.259299,17.498367,harmless,json
46.550538897275686,58.46258617619741,15.476915,17.772326,harmless,json
50.51660220058832,64.63612193920264,10.33141,16.268066,harmless,json
55.75878103328419,65.54660288302935,11.110288,20.634266,harmless,json
47.17166312735964,63.527004702068645,10.295179,16.907248,harmless,json
53.90741769653122,58.2303859404575,15.832088,22.455273,harmless,json
50.8318847551699,61.34868653611264,9.491468,18.121988,harmless,json
