format,patch_layer,patched_projection,restoration_pct,baseline_formatted,target_direct
tool_call,0,25.630859375,51.737609152037,4.873291015625,44.994140625
tool_call,2,28.45703125,58.781756777314634,4.873291015625,44.994140625
tool_call,4,28.435546875,58.728207624669125,4.873291015625,44.994140625
tool_call,6,29.8671875,62.29652843277451,4.873291015625,44.994140625
tool_call,8,31.80078125,67.11595217087047,4.873291015625,44.994140625
tool_call,10,32.791015625,69.58408129734993,4.873291015625,44.994140625
tool_call,12,34.28515625,73.30818145860589,4.873291015625,44.994140625
tool_call,14,34.92578125,74.9049198283993,4.873291015625,44.994140625
tool_call,16,37.724609375,81.88091398667356,4.873291015625,44.994140625
tool_call,18,39.265625,85.72184866279247,4.873291015625,44.994140625
tool_call,20,40.23828125,88.14616484619832,4.873291015625,44.994140625
tool_call,22,41.4296875,91.11570876563118,4.873291015625,44.994140625
tool_call,24,42.91796875,94.82520461252929,4.873291015625,44.994140625
tool_call,26,44.53125,98.84625916572854,4.873291015625,44.994140625
json,0,20.88671875,38.67022763268221,5.686279296875,44.994140625
json,2,23.341796875,44.9159963976274,5.686279296875,44.994140625
json,4,24.6015625,48.12086581162075,5.686279296875,44.994140625
json,6,25.576171875,50.60029191640011,5.686279296875,44.994140625
json,8,26.431640625,52.77662184404212,5.686279296875,44.994140625
json,10,29.306640625,60.090680413651754,5.686279296875,44.994140625
json,12,31.03515625,64.48805937703797,5.686279296875,44.994140625
json,14,32.384765625,67.92149312133164,5.686279296875,44.994140625
json,16,35.5546875,75.98583894910095,5.686279296875,44.994140625
json,18,39.4765625,85.96316884568802,5.686279296875,44.994140625
json,20,41.6875,91.5878388869911,5.686279296875,44.994140625
json,22,41.90234375,92.13440576379615,5.686279296875,44.994140625
json,24,43.69140625,96.68581721064562,5.686279296875,44.994140625
json,26,44.515625,98.78264650166145,5.686279296875,44.994140625
system,0,36.40625,81.6314754714715,-1.7591552734375,44.994140625
system,2,38.3828125,85.85911859698227,-1.7591552734375,44.994140625
system,4,38.5078125,86.1264794270541,-1.7591552734375,44.994140625
system,6,38.5234375,86.15989953081308,-1.7591552734375,44.994140625
system,8,39.0,87.17921269546191,-1.7591552734375,44.994140625
system,10,39.1171875,87.42986347365425,-1.7591552734375,44.994140625
system,12,39.49609375,88.24030098980948,-1.7591552734375,44.994140625
system,14,40.08203125,89.49355488077117,-1.7591552734375,44.994140625
system,16,41.41796875,92.35097375216382,-1.7591552734375,44.994140625
system,18,42.20703125,94.03868899199223,-1.7591552734375,44.994140625
system,20,42.5546875,94.78228630062951,-1.7591552734375,44.994140625
system,22,42.80859375,95.3253629867129,-1.7591552734375,44.994140625
system,24,43.53515625,96.8793978115054,-1.7591552734375,44.994140625
system,26,44.53515625,99.01828445208001,-1.7591552734375,44.994140625
