format,layer,component,mean_projection,restoration_pct
tool_call,0,attention,25.498046875,50.71969889629215
tool_call,0,mlp,15.8828125,25.68028075886272
tool_call,3,attention,6.081787109375,0.1570367733075632
tool_call,3,mlp,6.1044921875,0.2161639794517064
tool_call,6,attention,6.150390625,0.33568994456029705
tool_call,6,mlp,7.3232421875,3.389959818930879
tool_call,9,attention,6.537109375,1.3427597782411882
tool_call,9,mlp,8.06201171875,5.313819236051065
tool_call,12,attention,5.576416015625,-1.1590203957072376
tool_call,12,mlp,6.63720703125,1.6034281064035398
tool_call,15,attention,7.49951171875,3.8489903870606788
tool_call,15,mlp,4.78271484375,-3.2259295051116426
tool_call,18,attention,5.3505859375,-1.7471135750979097
tool_call,18,mlp,7.81787109375,4.678042825898988
tool_call,21,attention,8.56640625,6.627333299425259
tool_call,21,mlp,8.5673828125,6.6298764050658665
tool_call,24,attention,8.818359375,7.283454554702202
tool_call,24,mlp,10.4111328125,11.431259854534357
tool_call,27,attention,5.539794921875,-1.2543868572300494
tool_call,27,mlp,20.1298828125,36.74024718986827
system,0,attention,36.1953125,81.68140929904555
system,0,mlp,18.634765625,42.578263764315864
system,3,attention,-0.5953826904296875,-0.24268558226786408
system,3,mlp,-0.45989990234375,0.059002242017241295
system,6,attention,-0.580291748046875,-0.20908165635075976
system,6,mlp,0.48155975341796875,2.155408133950889
system,9,attention,-0.3495597839355469,0.30470334342074035
system,9,mlp,0.8074522018432617,2.88109281394145
system,12,attention,-0.91241455078125,-0.9486398479702668
system,12,mlp,-0.5223312377929688,-0.08001743734558206
system,15,attention,-0.5691070556640625,-0.18417601661644484
system,15,mlp,-1.27142333984375,-1.7480667124572538
system,18,attention,-1.0584716796875,-1.2738742047736262
system,18,mlp,0.9865951538085938,3.2800013998804327
system,21,attention,1.441864013671875,4.293776461180415
system,21,mlp,2.36944580078125,6.35927965278888
system,24,attention,2.0465087890625,5.640176024771089
system,24,mlp,4.020751953125,10.036344225841487
system,27,attention,-2.3917236328125,-4.24270800753693
system,27,mlp,12.66943359375,29.294893477423617
tool_call,27,position_format,6.021484375,0.0
tool_call,27,position_content,6.021484375,0.0
tool_call,27,position_last,6.021484375,0.0
tool_call,24,position_format,6.0380859375,0.043232795890341284
tool_call,24,position_content,5.740478515625,-0.7317786480850414
tool_call,24,position_last,6.021484375,0.0
tool_call,21,position_format,6.3515625,0.8595697065256092
tool_call,21,position_content,7.470703125,3.7739687706627336
tool_call,21,position_last,6.021484375,0.0
